count,deep,Source,Target,Weight
0,0,11566176,10049184,-94812
1,1,11566176,11591032,1553
2,2,11566176,11579048,804
3,3,11566176,11539968,-1638
4,4,11566176,11539776,-1650
5,5,11566200,11539776,-1652
6,6,11566224,11539776,-1653
7,7,11566224,11566296,4
8,8,11566248,11566296,3
9,9,11566272,11566296,1
10,10,11566296,11566296,0
11,8,11566344,11539776,-1661
12,9,11566344,11566464,7
13,10,11566344,11566392,3
14,11,11566368,11566392,1
15,12,11566392,11566392,0
16,11,11566440,11566464,1
17,12,11566464,11566464,0
18,11,11535520,11539776,266
19,12,11539800,11539776,-2
20,13,11539824,11539776,-3
21,14,11539776,11539776,0
22,8,11539992,11539968,-2
23,9,11539632,11539968,21
24,10,11539632,11540016,24
25,11,11540016,11540016,0
26,11,11539848,11539968,7
27,12,11539848,11539608,-15
28,13,11539848,11539848,0
29,14,11539872,11539608,-17
30,15,11539920,11539608,-20
31,16,11539944,11539608,-21
32,17,11539608,11539608,0
33,14,11539680,11539968,18
34,15,11539728,11539968,15
35,16,11540040,11539968,-5
36,17,11539752,11539968,13
37,18,11539968,11539968,0
38,11,11578856,11579048,12
39,12,11578976,11579048,4
40,13,11578976,11578832,-9
41,14,11578808,11578832,1
42,15,11578832,11578832,0
43,14,11578904,11579048,9
44,15,11579168,11579048,-8
45,16,11579168,11579024,-9
46,17,11578760,11579024,16
47,18,11579096,11579024,-5
48,19,11579024,11579024,0
49,12,11578664,11591032,773
50,13,11578664,11585144,405
51,14,11578664,11584160,343
52,15,11578664,11582888,264
53,16,11578664,11580752,130
54,17,11578664,11580008,84
55,18,11578664,11580032,85
56,19,11579384,11580032,40
57,20,11579384,11579600,13
58,21,11579384,11578952,-27
59,22,11579072,11578952,-8
60,23,11579072,11579072,0
61,24,11578712,11578952,15
62,25,11578736,11578952,13
63,26,11578736,11578736,0
64,27,11578952,11578952,0
65,24,11579120,11579600,30
66,25,11579120,11579120,0
67,26,11579192,11579600,25
68,27,11579216,11579600,24
69,28,11579240,11579600,22
70,29,11579288,11579600,19
71,30,11579264,11579600,21
72,31,11579264,11579312,3
73,32,11579312,11579312,0
74,32,11579360,11579600,15
75,33,11579600,11579600,0
76,26,11579528,11580032,31
77,27,11579480,11580032,34
78,28,11579480,11579552,4
79,29,11579456,11579552,6
80,30,11579552,11579552,0
81,29,11579576,11580032,28
82,30,11579408,11580032,39
83,31,11579408,11579408,0
84,32,11579720,11580032,19
85,33,11579720,11579984,16
86,34,11579720,11580248,33
87,35,11580080,11580248,10
88,36,11580416,11580248,-11
89,37,11580128,11580248,7
90,38,11580248,11580248,0
91,35,11579768,11579984,13
92,36,11579768,11579744,-2
93,37,11579744,11579744,0
94,37,11580392,11579984,-26
95,38,11579984,11579984,0
96,36,11580056,11580032,-2
97,37,11580032,11580032,0
98,30,11579672,11580008,21
99,31,11579960,11580008,3
100,32,11579960,11579696,-17
101,33,11579864,11579696,-11
102,34,11580104,11579696,-26
103,35,11580224,11579696,-33
104,36,11579696,11579696,0
105,33,11580344,11580008,-21
106,34,11579792,11580008,13
107,35,11579792,11579888,6
108,36,11579792,11579816,1
109,37,11579816,11579816,0
110,37,11579888,11579888,0
111,37,11579912,11580008,6
112,38,11579936,11580008,4
113,39,11580008,11580008,0
114,33,11580560,11580752,12
115,34,11580560,11580488,-5
116,35,11580560,11580632,4
117,36,11580512,11580632,7
118,37,11580584,11580632,3
119,38,11580632,11580632,0
120,36,11580440,11580488,3
121,37,11580488,11580488,0
122,36,11580968,11580752,-14
123,37,11580968,11580800,-11
124,38,11581448,11580800,-41
125,39,11581232,11580800,-27
126,40,11581256,11580800,-29
127,41,11580800,11580800,0
128,38,11581040,11580752,-18
129,39,11581040,11580848,-12
130,40,11581040,11581040,0
131,41,11580848,11580848,0
132,41,11580728,11580752,1
133,42,11581304,11580752,-35
134,43,11581304,11581160,-9
135,44,11581400,11581160,-15
136,45,11581400,11581400,0
137,46,11581016,11581160,9
138,47,11581160,11581160,0
139,45,11580752,11580752,0
140,40,11581328,11582888,97
141,41,11581328,11582312,61
142,42,11581328,11581568,15
143,43,11581328,11581376,3
144,44,11581376,11581376,0
145,44,11581352,11581568,13
146,45,11580776,11581568,49
147,46,11580872,11581568,43
148,47,11580872,11581088,13
149,48,11580896,11581088,12
150,49,11580920,11581088,10
151,50,11580944,11581088,9
152,51,11581088,11581088,0
153,48,11581136,11581568,27
154,49,11581184,11581568,24
155,50,11581664,11581568,-6
156,51,11581568,11581568,0
157,45,11581544,11582312,48
158,46,11581544,11581832,18
159,47,11581544,11581856,19
160,48,11581544,11582000,28
161,49,11581592,11582000,25
162,50,11581592,11581520,-5
163,51,11581592,11581472,-8
164,52,11581472,11581472,0
165,52,11581520,11581520,0
166,52,11581784,11582000,13
167,53,11581784,11581784,0
168,54,11582144,11582000,-9
169,55,11581952,11582000,3
170,56,11582000,11582000,0
171,52,11581808,11581856,3
172,53,11582168,11581856,-20
173,54,11581856,11581856,0
174,52,11582240,11581832,-26
175,53,11582048,11581832,-14
176,54,11581760,11581832,4
177,55,11581760,11581760,0
178,52,11582360,11582312,-3
179,53,11582360,11582456,6
180,54,11582360,11582024,-21
181,55,11582336,11582024,-20
182,56,11582336,11582336,0
183,57,11582072,11582024,-3
184,58,11582408,11582024,-24
185,59,11582096,11582024,-5
186,60,11582024,11582024,0
187,56,11582384,11582456,4
188,57,11582192,11582456,16
189,58,11582432,11582456,1
190,59,11582456,11582456,0
191,56,11582288,11582312,1
192,57,11582312,11582312,0
193,54,11581736,11582888,72
194,55,11581736,11582696,60
195,56,11581736,11582600,54
196,57,11582600,11582600,0
197,57,11582552,11582696,9
198,58,11582504,11582696,12
199,59,11582528,11582696,10
200,60,11582672,11582696,1
201,61,11582696,11582696,0
202,57,11582624,11582888,16
203,58,11582816,11582888,4
204,59,11582816,11583272,28
205,60,11583272,11583272,0
206,60,11582960,11582888,-5
207,61,11582960,11583296,21
208,62,11583296,11583296,0
209,62,11583440,11582888,-35
210,63,11582936,11582888,-3
211,64,11582888,11582888,0
212,57,11583488,11584160,42
213,58,11583488,11583536,3
214,59,11583488,11583584,6
215,60,11583488,11583032,-29
216,61,11583488,11583128,-23
217,62,11583488,11583248,-15
218,63,11582864,11583248,24
219,64,11583248,11583248,0
220,63,11583104,11583128,1
221,64,11583200,11583128,-5
222,65,11583320,11583128,-12
223,66,11583152,11583128,-2
224,67,11583056,11583128,4
225,68,11583128,11583128,0
226,63,11583008,11583032,1
227,64,11583176,11583032,-9
228,65,11583368,11583032,-21
229,66,11583344,11583032,-20
230,67,11583392,11583032,-23
231,68,11583032,11583032,0
232,63,11583464,11583584,7
233,64,11583464,11582768,-44
234,65,11583512,11582768,-47
235,66,11582768,11582768,0
236,65,11583656,11583584,-5
237,66,11583584,11583584,0
238,64,11583680,11583536,-9
239,65,11583728,11583536,-12
240,66,11583536,11583536,0
241,64,11583608,11584160,34
